,기업명,제목,별점,평균연봉,직원추천
0,(재)한국의류시험연구원,(재)한국의류시험연구원 2021년 정규직전환형 직원 채용공고,2.6,"평균 연봉 5,422만원",직원 추천 36.0%
1,(주)카카오모빌리티,GIS 엔지니어,3.9,"평균 연봉 5,630만원",직원 추천 80.0%
2,(주)한화/방산,AI - SW,3.3,"평균 연봉 5,377만원",직원 추천 56.0%
3,(주)자란다,[잡플래닛 매칭] 데이터 사이언티스트(분석가),3.4,제공X,직원 추천 66.0%
4,네이버웹툰,[잡플래닛 매칭] AI Application Engineer,4.3,"평균 연봉 4,590만원",직원 추천 86.0%
5,네이버웹툰,[잡플래닛 매칭] Data Scientist & ML·Data Engineer,4.3,"평균 연봉 4,590만원",직원 추천 86.0%
6,네이버웹툰,[잡플래닛 매칭] AI Researcher & AI Research Engineer,4.3,"평균 연봉 4,590만원",직원 추천 86.0%
7,잡플래닛 매칭서비스,국내 대표 핀테크 스타트업 기업 - 데이터 사이언티스트,제공X,제공X,제공X
8,(주)카카오엔터프라이즈,[클라우드인프라] 클라우드 데이터센터 엔지니어 영입,4.3,"평균 연봉 6,126만원",직원 추천 83.0%
9,잡플래닛 매칭서비스,유통 대기업  - 유통대기업 데이터 엔지니어 ,제공X,제공X,제공X
10,잡플래닛 매칭서비스,유통 대기업  - 데이터 사이언티스트 ,제공X,제공X,제공X
11,(주)카카오엔터프라이즈,[데이터서비스] 데이터 서비스 개발자,4.3,"평균 연봉 6,126만원",직원 추천 83.0%
12,(주)카카오엔터프라이즈,[데이터서비스] 데이터분석가 (데이터사이언티스트),4.3,"평균 연봉 6,126만원",직원 추천 83.0%
13,잡플래닛 매칭서비스,국내 대기업 카드사 - 빅데이터 분석 및 인사이트 도출,제공X,제공X,제공X
14,잡플래닛 매칭서비스,국내 대기업 카드사 - 개인사업자CB 및 모형개발,제공X,제공X,제공X
15,(주)카카오엔터테인먼트,[카카오엔터테인먼트/판교] 데이터 플랫폼 개발자 모집,3.2,"평균 연봉 4,054만원",직원 추천 49.0%
16,(주)카카오엔터테인먼트,[카카오엔터테인먼트/판교] 데이터 사이언티스트 모집,3.2,"평균 연봉 4,054만원",직원 추천 49.0%
17,(주)카카오엔터테인먼트,[카카오엔터테인먼트/판교] 데이터 분석가 (비즈니스분석/경영분석) 모집,3.2,"평균 연봉 4,054만원",직원 추천 49.0%
18,(주)카카오엔터테인먼트,[카카오엔터테인먼트/판교] 데이터 분석가 (서비스분석) 모집,3.2,"평균 연봉 4,054만원",직원 추천 49.0%
19,(주)카카오엔터테인먼트,[카카오엔터테인먼트/판교] 데이터 엔지니어 모집,3.2,"평균 연봉 4,054만원",직원 추천 49.0%
20,(주)카카오엔터테인먼트,[카카오엔터테인먼트/판교] 데이터PM 모집,3.2,"평균 연봉 4,054만원",직원 추천 49.0%
21,씨제이올리브네트웍스(주),[잡플래닛 매칭] 데이터 사이언스 엔지니어,2.9,"평균 연봉 7,292만원",직원 추천 36.0%
22,(주)자란다,[잡플래닛 매칭] NLP 엔지니어 경력직 ,3.4,제공X,직원 추천 66.0%
23,(주)자란다,[잡플래닛 매칭] 데이터 엔지니어 경력직,3.4,제공X,직원 추천 66.0%
24,씨제이올리브네트웍스(주),[잡플래닛 매칭] 빅데이터 사업기획,2.9,"평균 연봉 7,292만원",직원 추천 36.0%
25,(주)스칼라웍스,[전문연구요원] R&D 부문 개발자 병역특례 채용,제공X,제공X,제공X
26,(주)스칼라웍스,"빅데이터, AI 인공지능 외 신입/경력 인턴 (정규직전환)(병역특례자 우대)",제공X,제공X,제공X
27,(주)스칼라웍스,임베디드 개발 신입/경력 인턴 (정규직전환) (병역특례자 우대),제공X,제공X,제공X
28,잡플래닛 매칭서비스,"명품 패션 테크 이커머스 스타트업 - .Net/C#(데이터, 로봇 기반)개발자",제공X,제공X,제공X
29,네이버클라우드(주),[NAVER Cloud] 네이버클라우드 클라우드 데이터베이스 상품개발 ,4.0,"평균 연봉 9,299만원",직원 추천 81.0%
30,네이버클라우드(주),[NAVER Cloud] 네이버클라우드 빅데이터플랫폼 상품개발,4.0,"평균 연봉 9,299만원",직원 추천 81.0%
31,네이버클라우드(주),[NAVER Cloud] 클라우드 SaaS 개발 ,4.0,"평균 연봉 9,299만원",직원 추천 81.0%
